cpt,desc,status,work_rvu,pe_nonfac_rvu,pe_fac_rvu,mp_rvu
0054T,Bone srgry cmptr fluor image,C,0.0,0.0,0.0,0.0
0055T,Bone srgry cmptr ct/mri imag,C,0.0,0.0,0.0,0.0
0071T,Us leiomyomata ablate <200,C,0.0,0.0,0.0,0.0
0072T,Fcsd us abltj leiomyom>=200,C,0.0,0.0,0.0,0.0
0075T,Perq stent/chest vert art,C,0.0,0.0,0.0,0.0
0075T,Perq stent/chest vert art,C,0.0,0.0,0.0,0.0
0075T,Perq stent/chest vert art,C,0.0,0.0,0.0,0.0
0076T,S&i stent/chest vert art,C,0.0,0.0,0.0,0.0
0076T,S&i stent/chest vert art,C,0.0,0.0,0.0,0.0
0076T,S&i stent/chest vert art,C,0.0,0.0,0.0,0.0
0095T,Rmvl artific disc addl crvcl,C,0.0,0.0,0.0,0.0
0098T,Rev artific disc addl,C,0.0,0.0,0.0,0.0
0100T,Prosth retina receive&gen,C,0.0,0.0,0.0,0.0
0101T,Esw muscskel sys nos,C,0.0,0.0,0.0,0.0
0102T,Esw phy anes lat hmrl epcndl,C,0.0,0.0,0.0,0.0
0106T,Touch quant sensory test,C,0.0,0.0,0.0,0.0
0107T,Vibrate quant sensory test,C,0.0,0.0,0.0,0.0
0108T,Cool quant sensory test,C,0.0,0.0,0.0,0.0
0109T,Heat quant sensory test,C,0.0,0.0,0.0,0.0
0110T,Nos quant sensory test,C,0.0,0.0,0.0,0.0
0164T,Remove lumb artif disc addl,C,0.0,0.0,0.0,0.0
0165T,Revise lumb artif disc addl,C,0.0,0.0,0.0,0.0
0174T,Cad cxr with interp,C,0.0,0.0,0.0,0.0
0175T,Cad cxr remote,C,0.0,0.0,0.0,0.0
0184T,Exc rectal tumor endoscopic,C,0.0,0.0,0.0,0.0
0198T,Ocular blood flow measure,C,0.0,0.0,0.0,0.0
0200T,Perq sacral augmt unilat inj,C,0.0,0.0,0.0,0.0
0201T,Perq sacral augmt bilat inj,C,0.0,0.0,0.0,0.0
0202T,Post vert arthrplst 1 lumbar,C,0.0,0.0,0.0,0.0
0207T,Clear eyelid gland w/heat,C,0.0,0.0,0.0,0.0
0208T,Audiometry air only,C,0.0,0.0,0.0,0.0
0209T,Audiometry air & bone,C,0.0,0.0,0.0,0.0
0210T,Speech audiometry threshold,C,0.0,0.0,0.0,0.0
0211T,Speech audiom thresh & recog,C,0.0,0.0,0.0,0.0
0212T,Compre audiometry evaluation,C,0.0,0.0,0.0,0.0
0213T,Njx paravert w/us cer/thor,C,0.0,0.0,0.0,0.0
